tag	root	morphophonemics	features	is_compound
NNP-ABBR	A.	a.*a*	~	FALSE
NNP-ABBR	A.B.D.	a.b.d.*e*	~	FALSE
NNP-ABBR	A.B.D.	a.b.d.*i*	~	FALSE
NNP-ABBR	A.K.P.	a.k.p.*e*	~	FALSE
NNP-ABBR	A.K.P.	a.k.p.*i*	~	TRUE
NNP-ABBR	A.T.O.B.B.	a.t.o.b.b.*ob*	~	FALSE
NNP-ABBR	A.T.O.B.B.	a.t.o.b.b.*i*	~	FALSE
NNP-ABBR	ABD	abd*e*	~	FALSE
NNP-ABBR	ABD	abd*i*	~	FALSE
NNP-ABBR	AKP	akp*e*	~	FALSE
NNP-ABBR	AKP	akp*i*	~	TRUE
NNP-ABBR	ATOBB	atobb*ob*	~	FALSE
NNP-ABBR	ATOBB	atobb*i*	~	FALSE
NNP-ABBR	B.	b.*e*	~	FALSE
NNP-ABBR	B.M.	b.m.*e*	~	FALSE
NNP-ABBR	B.M.	b.m.*er*	~	FALSE
NNP-ABBR	BM	bm*e*	~	FALSE
NNP-ABBR	BM	bm*er*	~	FALSE
NNP-ABBR	C.	c.*e*	~	FALSE
NNP-ABBR	Ç.	ç.*e*	~	FALSE
NNP-ABBR	C.H.P.	c.h.p.*e*	~	FALSE
NNP-ABBR	C.H.P.	c.h.p.*i*	~	TRUE
NNP-ABBR	CEO	ceo*o*	~	FALSE
NNP-ABBR	CHP	chp*e*	~	FALSE
NNP-ABBR	CHP	chp*i*	~	TRUE
NNP-ABBR	D.	d.*e*	~	FALSE
NNP-ABBR	DAİB	~	~	FALSE
NNP-ABBR	E.	e.*e*	~	FALSE
NNP-ABBR	E.B.S.O.	e.b.s.o.*o*	~	FALSE
NNP-ABBR	E.B.S.O.	e.b.s.o.*ı*	~	TRUE
NNP-ABBR	E.M.C.	e.m.c.*e*	~	FALSE
NNP-ABBR	E.M.C.	e.m.c.*i*	~	FALSE
NNP-ABBR	E.M.İ.B.	e.m.i.b.*ib*	~	FALSE
NNP-ABBR	E.M.İ.B.	e.m.i.b.*i*	~	TRUE
NNP-ABBR	EBSO	ebso*o*	~	FALSE
NNP-ABBR	EBSO	ebso*ı*	~	TRUE
NNP-ABBR	EMC	emc*e*	~	FALSE
NNP-ABBR	EMC	emc*i*	~	FALSE
NNP-ABBR	EMİB	~	~	FALSE
NNP-ABBR	EMİB	emib*i*	~	TRUE
NNP-ABBR	F.	f.*e*	~	FALSE
NNP-ABBR	G.	g.*e*	~	FALSE
NNP-ABBR	G.S.	g.s.*e*	~	FALSE
NNP-ABBR	G.S.	g.s.*ay*	~	FALSE
NNP-ABBR	GS	gs*e*	~	FALSE
NNP-ABBR	GS	gs*ay*	~	FALSE
NNP-ABBR	H.	h.*e*	~	FALSE
NNP-ABBR	I.	ı.*i*	~	FALSE
NNP-ABBR	İ.	i.*i*	~	FALSE
NNP-ABBR	İ.B.B.	i.b.b.*e*	~	FALSE
NNP-ABBR	İ.B.B.	i.b.b.*i*	~	TRUE
NNP-ABBR	I.C.A.N.N.	i.c.a.n.n.*en*	~	FALSE
NNP-ABBR	İ.H.A.	i.h.a.*ı*	~	TRUE
NNP-ABBR	İ.H.A.	i.h.a*ı*	~	TRUE
NNP-ABBR	İ.K.B.Y.	i.k.b.y.*e*	~	FALSE
NNP-ABBR	İ.K.B.Y.	i.k.b.y.*i*	~	TRUE
NNP-ABBR	İ.K.S.E.V.	i.k.s.e.v.*ı*	~	TRUE
NNP-ABBR	İ.K.S.V.	i.k.s.v.*e*	~	FALSE
NNP-ABBR	İ.K.S.V.	i.k.s.v.*ı*	~	TRUE
NNP-ABBR	İBB	ibb*e*	~	FALSE
NNP-ABBR	İBB	ibb*i*	~	TRUE
NNP-ABBR	ICANN	icann*en*	~	FALSE
NNP-ABBR	İHA	iha*ı*	~	TRUE
NNP-ABBR	İKBY	ikby*e*	~	FALSE
NNP-ABBR	İKBY	ikby*i*	~	TRUE
NNP-ABBR	İKSEV	iksev*ı*	~	TRUE
NNP-ABBR	İKSV	iksv*e*	~	FALSE
NNP-ABBR	İKSV	iksv*ı*	~	TRUE
NNP-ABBR	IOS	ios*os*	~	FALSE
NNP-ABBR	IŞİD	~	~	FALSE
NNP-ABBR	IŞİD	ışid*i*	~	TRUE
NNP-ABBR	J.	j.*e*	~	FALSE
NNP-ABBR	K.	k*a*	~	FALSE
NNP-ABBR	K.S.K.	k.s.k.*e*	~	FALSE
NNP-ABBR	K.S.K.	k.s.k.*ü*	~	TRUE
NNP-ABBR	KSK	ksk*e*	~	FALSE
NNP-ABBR	KSK	ksk*ü*	~	TRUE
NNP-ABBR	L.	l.*e*	~	FALSE
NNP-ABBR	M.	m.*e*	~	FALSE
NNP-ABBR	M.H.P.	m.h.p.*e*	~	FALSE
NNP-ABBR	M.H.P.	m.h.p.*i*	~	TRUE
NNP-ABBR	M.K.Y.K.	m.k.y.k.*a*	~	FALSE
NNP-ABBR	M.K.Y.K.	m.k.y.k.*u*	~	TRUE
NNP-ABBR	M.K.Y.K.	m.k.y.k.*e*	~	FALSE
NNP-ABBR	M.Y.K.	m.y.k.*a*	~	FALSE
NNP-ABBR	M.Y.K.	m.y.k.*e*	~	FALSE
NNP-ABBR	M.Y.K.	m.y.k.*u*	~	TRUE
NNP-ABBR	MHP	mhp*e*	~	FALSE
NNP-ABBR	MHP	mhp*i*	~	TRUE
NNP-ABBR	MKYK	mkyk*a*	~	FALSE
NNP-ABBR	MKYK	mkyk*u*	~	TRUE
NNP-ABBR	MKYK	mkyk*e*	~	FALSE
NNP-ABBR	MYK	myk*a*	~	FALSE
NNP-ABBR	MYK	myk*e*	~	FALSE
NNP-ABBR	MYK	myk*u*	~	TRUE
NNP-ABBR	N.	n.*e*	~	FALSE
NNP-ABBR	N.A.S.A.	n.a.s.a.*a*	~	FALSE
NNP-ABBR	NASA	~	~	FALSE
NNP-ABBR	NYC	nyc*i*	~	FALSE
NNP-ABBR	O.	o.*o*	~	FALSE
NNP-ABBR	Ö.	~	~	FALSE
NNP-ABBR	O.D.T.Ü.	o.d.t.ü.*ü*	~	FALSE
NNP-ABBR	O.D.T.Ü.	o.d.t.ü.*i*	~	TRUE
NNP-ABBR	ODTÜ	~	~	FALSE
NNP-ABBR	ODTÜ	odtü*i*	~	TRUE
NNP-ABBR	P.	p.*e*	~	FALSE
NNP-ABBR	R.	r*{l*	~	FALSE
