tag	root	morphophonemics	features	is_compound
VB-HL-AR-DHR	aç	aÇ	~	FALSE
VB-HL-AR-DHR	addet	addet~	~	FALSE
VB-HL-AR-DHR	affet	affet~	~	FALSE
VB-HL-AR-DHR	ağ	~	~	FALSE
VB-HL-AR-DHR	ahdet	ahdet~	~	FALSE
VB-HL-AR-DHR	ahzet	ahzet~	~	FALSE
VB-HL-AR-DHR	akdet	akdet~	~	FALSE
VB-HL-AR-DHR	akset	akset~	~	FALSE
VB-HL-AR-DHR	aktet	aktet~	~	FALSE
VB-HL-AR-DHR	alıkoy	~	~	FALSE
VB-HL-AR-DHR	altet	altet~	~	FALSE
VB-HL-AR-DHR	an	~	~	FALSE
VB-HL-AR-DHR	art	~	~	FALSE
VB-HL-AR-DHR	arzet	arzet~	~	FALSE
VB-HL-AR-DHR	as	~	~	FALSE
VB-HL-AR-DHR	at	~	~	FALSE
VB-HL-AR-DHR	atfet	atfet~	~	FALSE
VB-HL-AR-DHR	ay	~	~	FALSE
VB-HL-AR-DHR	ayırdet	ayırdet~	~	FALSE
VB-HL-AR-DHR	ayırtet	ayırtet~	~	FALSE
VB-HL-AR-DHR	az	~	~	FALSE
VB-HL-AR-DHR	azlet	azlet~	~	FALSE
VB-HL-AR-DHR	azmet	azmet~	~	FALSE
VB-HL-AR-DHR	bahset	bahset~	~	FALSE
VB-HL-AR-DHR	bahşet	bahşet~	~	FALSE
VB-HL-AR-DHR	bak	baK	~	FALSE
VB-HL-AR-DHR	ban	~	~	FALSE
VB-HL-AR-DHR	bas	~	~	FALSE
VB-HL-AR-DHR	başet	başet~	~	FALSE
VB-HL-AR-DHR	bat	~	~	FALSE
VB-HL-AR-DHR	bay	~	~	FALSE
VB-HL-AR-DHR	bert	~	~	FALSE
VB-HL-AR-DHR	bez	~	~	FALSE
VB-HL-AR-DHR	biç	biÇ	~	FALSE
VB-HL-AR-DHR	bin	~	~	FALSE
VB-HL-AR-DHR	bık	bıK	~	FALSE
VB-HL-AR-DHR	boğ	~	~	FALSE
VB-HL-AR-DHR	bört	~	~	FALSE
VB-HL-AR-DHR	bös	~	~	FALSE
VB-HL-AR-DHR	boz	~	~	FALSE
VB-HL-AR-DHR	bük	büK	~	FALSE
VB-HL-AR-DHR	bur	~	~	FALSE
VB-HL-AR-DHR	burk	burK	~	FALSE
VB-HL-AR-DHR	büz	~	~	FALSE
VB-HL-AR-DHR	çağ	~	~	FALSE
VB-HL-AR-DHR	çak	çaK	~	FALSE
VB-HL-AR-DHR	çap	~	~	FALSE
VB-HL-AR-DHR	çarp	~	~	FALSE
VB-HL-AR-DHR	çat	~	~	FALSE
VB-HL-AR-DHR	çav	~	~	FALSE
VB-HL-AR-DHR	cay	~	~	FALSE
VB-HL-AR-DHR	cebret	cebret~	~	FALSE
VB-HL-AR-DHR	cehdet	cehdet~	~	FALSE
VB-HL-AR-DHR	çek	çeK	~	FALSE
VB-HL-AR-DHR	celbet	celbet~	~	FALSE
VB-HL-AR-DHR	cemet	cemet~	~	FALSE
VB-HL-AR-DHR	cezbet	cezbet~	~	FALSE
VB-HL-AR-DHR	çim	~	~	FALSE
VB-HL-AR-DHR	çit	~	~	FALSE
VB-HL-AR-DHR	çiv	~	~	FALSE
VB-HL-AR-DHR	çiz	~	~	FALSE
VB-HL-AR-DHR	çık	çıK	~	FALSE
VB-HL-AR-DHR	çırp	~	~	FALSE
VB-HL-AR-DHR	çıv	~	~	FALSE
VB-HL-AR-DHR	çöğ	~	~	FALSE
VB-HL-AR-DHR	çök	çöK	~	FALSE
VB-HL-AR-DHR	çöm	~	~	FALSE
VB-HL-AR-DHR	coş	~	~	FALSE
VB-HL-AR-DHR	çöz	~	~	FALSE
VB-HL-AR-DHR	dahlet	dahlet~	~	FALSE
VB-HL-AR-DHR	danset	danset~	~	FALSE
VB-HL-AR-DHR	darbet	darbet~	~	FALSE
VB-HL-AR-DHR	defet	defet~	~	FALSE
VB-HL-AR-DHR	defnet	defnet~	~	FALSE
VB-HL-AR-DHR	değ	~	~	FALSE
VB-HL-AR-DHR	der	~	~	FALSE
VB-HL-AR-DHR	deş	~	~	FALSE
VB-HL-AR-DHR	devret	devret~	~	FALSE
VB-HL-AR-DHR	dik	diK	~	FALSE
VB-HL-AR-DHR	din	~	~	FALSE
VB-HL-AR-DHR	dit	dit~	~	FALSE
VB-HL-AR-DHR	diz	~	~	FALSE
VB-HL-AR-DHR	doğ	~	~	FALSE
VB-HL-AR-DHR	döğ	~	~	FALSE
VB-HL-AR-DHR	dök	döK	~	FALSE
VB-HL-AR-DHR	don	~	~	FALSE
