tag	root	morphophonemics	features	is_compound
NN	aids	~	~	FALSE
NN	alzheimer	~	~	FALSE
NN	alzheimer	alzheimer*ır*	~	FALSE
NN	anchorman	~	~	FALSE
NN	anchorman	anchorman*en*	~	FALSE
NN	antigen	~	~	FALSE
NN	apartheid	~	~	FALSE
NN	apartheid	apartheid*ayt*	~	FALSE
NN	april	~	~	FALSE
NN	april	april*ıl*	~	FALSE
NN	ateism	ateism*izm*	~	FALSE
NN	badminton	~	~	FALSE
NN	badminton	badminton*ın*	~	FALSE
NN	belladon	~	~	FALSE
NN	bestseller	~	~	FALSE
NN	bestseller	bestseller*ır*	~	FALSE
NN	billboard	billboard*ord*	~	FALSE
NN	bos	~	~	FALSE
NN	brunch	brunch*anç*	~	FALSE
NN	bungee	bungee*i*	~	FALSE
NN	casino	~	~	FALSE
NN	casting	~	~	FALSE
NN	catering	~	~	FALSE
NN	center	center*ır*	~	FALSE
NN	change	change*inc*	~	FALSE
NN	charter	~	~	FALSE
NN	charter	charter*ır*	~	FALSE
NN	chat	chat*et*	~	FALSE
NN	delete	~	~	FALSE
NN	delete	delete*it*	~	FALSE
NN	dolomi	~	~	FALSE
NN	dramaturgi	~	~	FALSE
NN	euro	~	~	FALSE
NN	eurobond	~	~	FALSE
NN	factoring	~	~	FALSE
NN	fahrenheit	fahrenheit*ayt*	~	FALSE
NN	fast	~	~	FALSE
NN	fast	fast*est*	~	FALSE
NN	formula	~	~	FALSE
NN	fuel	fuel*ıl*	~	FALSE
NN	fueloil	~	~	FALSE
NN	fueloil	fueloil*ıl*	~	FALSE
NN	gliding	~	~	FALSE
NN	gros	~	~	FALSE
NN	hacker	~	~	FALSE
NN	hacker	hacker*ır*	~	FALSE
NN	halftime	~	~	FALSE
NN	halftime	halftime*aym*	~	FALSE
NN	leasing	~	~	FALSE
NN	light	light*iht*	~	FALSE
NN	light	light*ayt*	~	FALSE
NN	liposuction	liposuction*ın*	~	FALSE
NN	macintosh	macintosh*oş*	~	FALSE
NN	mam	mam*em*	~	FALSE
NN	manent	manent~	~	FALSE
NN	marker	~	~	FALSE
NN	marker	marker*ır*	~	FALSE
NN	marketing	~	~	FALSE
NN	mister	~	~	FALSE
NN	mister	mister*ır*	~	FALSE
NN	mode	~	~	FALSE
NN	mode	mode*od*	~	FALSE
NN	mortgage	~	~	FALSE
NN	mortgage	mortgage*ıç*	~	FALSE
NN	mouse	~	~	FALSE
NN	mouse	mouse*us*	~	FALSE
NN	notebook	~	~	FALSE
NN	notebook	notebooK*uk*	~	FALSE
NN	oil	~	~	FALSE
NN	oil	oil*ıl*	~	FALSE
NN	outlook	~	~	FALSE
NN	outlook	outlooK*uk*	~	FALSE
NN	paramin	~	~	FALSE
NN	patogenik	~	~	FALSE
NN	pipeline	~	~	FALSE
NN	pipeline	pipeline*ayn*	~	FALSE
NN	playback	playbacK*ek*	~	FALSE
NN	postscript	~	~	FALSE
NN	postscriptum	~	~	FALSE
NN	pound	~	~	FALSE
NN	pub	~	~	FALSE
NN	pub	pub*ab*	~	FALSE
NN	puzzle	puzzle*ıl*	~	FALSE
NN	rating	~	~	FALSE
NN	roaming	~	~	FALSE
NN	rugbi	~	~	FALSE
NN	single	~	~	FALSE
NN	single	single*ıl*	~	FALSE
NN	snackbar	~	~	FALSE
NN	softball	~	~	FALSE
NN	softball	softball*ol*	~	FALSE
NN	standby	standby*ay*	~	FALSE
NN	sterling	~	~	FALSE
NN	sterling	sterling*in*	~	FALSE
NN	sticker	~	~	FALSE
NN	sticker	sticker*ır*	~	FALSE
NN	trader	~	~	FALSE
NN	trader	trader*ır*	~	FALSE
NN	tubeless	tubeless*ıs*	~	FALSE
