tag	root	morphophonemics	features	is_compound
CC	&	~	+[ConjunctionType=Coor]	FALSE
CC	akabinde	~	+[ConjunctionType=Adv]	FALSE
CC	aksine	~	+[ConjunctionType=Adv]	FALSE
CC	ama	~	+[ConjunctionType=Coor]	FALSE
CC	amma	~	+[ConjunctionType=Coor]	FALSE
CC	ancak	~	+[ConjunctionType=Adv]	FALSE
CC	ardından	~	+[ConjunctionType=Adv]	FALSE
CC	artı	~	+[ConjunctionType=Adv]	FALSE
CC	artık	~	+[ConjunctionType=Adv]	FALSE
CC	aslında	~	+[ConjunctionType=Adv]	FALSE
CC	ayrıca	~	+[ConjunctionType=Adv]	FALSE
CC	bari	~	+[ConjunctionType=Adv]	FALSE
CC	başka	~	+[ConjunctionType=Adv]	FALSE
CC	başta	~	+[ConjunctionType=Adv]	FALSE
CC	behemehâl	behemeh[l	+[ConjunctionType=Coor]	FALSE
CC	bilakis	~	+[ConjunctionType=Adv]	FALSE
CC	bilhassa	~	+[ConjunctionType=Adv]	FALSE
CC	binaenaleyh	~	+[ConjunctionType=Coor]	FALSE
CC	bir	~	+[ConjunctionType=Coor]	FALSE
CC	bir	~	+[ConjunctionType=Adv]	FALSE
CC	bırak	~	+[ConjunctionType=Sub]	FALSE
CC	bırakın	~	+[ConjunctionType=Sub]	FALSE
CC	böylece	~	+[ConjunctionType=Adv]	FALSE
CC	böylelikle	~	+[ConjunctionType=Adv]	FALSE
CC	bundan	~	+[ConjunctionType=Adv]	FALSE
CC	bunun	~	+[ConjunctionType=Adv]	FALSE
CC	çünki	~	+[ConjunctionType=Coor]	FALSE
CC	çünkü	~	+[ConjunctionType=Coor]	FALSE
CC	da	~	+[ConjunctionType=Coor]	FALSE
CC	da	~	+[ConjunctionType=Adv]	FALSE
CC	da	~	+[ConjunctionType=Par]	FALSE
CC	daha	~	+[ConjunctionType=Adv]	FALSE
CC	dahası	~	+[ConjunctionType=Adv]	FALSE
CC	de	~	+[ConjunctionType=Coor]	FALSE
CC	de	~	+[ConjunctionType=Adv]	FALSE
CC	de	~	+[ConjunctionType=Par]	FALSE
CC	demek	~	+[ConjunctionType=Adv]	FALSE
CC	derken	~	+[ConjunctionType=Adv]	FALSE
CC	deyişle	~	+[ConjunctionType=Adv]	FALSE
CC	diğer	~	+[ConjunctionType=Adv]	FALSE
CC	doğrusu	~	+[ConjunctionType=Adv]	FALSE
CC	dolayı	~	+[ConjunctionType=Adv]	FALSE
CC	dolayısıyla	~	+[ConjunctionType=Adv]	FALSE
CC	dönersek	~	+[ConjunctionType=Adv]	FALSE
