tag	root	morphophonemics	features	is_compound
NN-ABBR-APOS	AC	ac*e*	~	FALSE
NN-ABBR-APOS	AC	ac*um*	~	FALSE
NN-ABBR-APOS	AL	al*e*	~	FALSE
NN-ABBR-APOS	AL	al*um*	~	FALSE
NN-ABBR-APOS	AM	am*e*	~	FALSE
NN-ABBR-APOS	AM	am*um*	~	FALSE
NN-ABBR-APOS	AR	ar*e*	~	FALSE
NN-ABBR-APOS	AR	ar*on*	~	FALSE
NN-ABBR-APOS	AU	~	~	FALSE
NN-ABBR-APOS	AU	au*ın*	~	FALSE
NN-ABBR-APOS	AZ	az*e*	~	FALSE
NN-ABBR-APOS	BA	~	~	FALSE
NN-ABBR-APOS	BA	ba*um*	~	FALSE
NN-ABBR-APOS	BE	~	~	FALSE
NN-ABBR-APOS	BE	be*um*	~	FALSE
NN-ABBR-APOS	BR	br*e*	~	FALSE
NN-ABBR-APOS	BR	br*om*	~	FALSE
NN-ABBR-APOS	BZ	bz*e*	~	FALSE
NN-ABBR-APOS	CA	~	~	FALSE
NN-ABBR-APOS	CA	ca*um*	~	FALSE
NN-ABBR-APOS	CB	cb*e*	~	FALSE
NN-ABBR-APOS	CC	cc*i*	~	FALSE
NN-ABBR-APOS	CC	cc*e*	~	FALSE
NN-ABBR-APOS	CD	cd*um*	~	FALSE
NN-ABBR-APOS	CE	~	~	FALSE
NN-ABBR-APOS	CE	ce*um*	~	FALSE
NN-ABBR-APOS	CL	cl*e*	~	FALSE
NN-ABBR-APOS	CL	cl*or*	~	FALSE
NN-ABBR-APOS	CO	~	~	FALSE
NN-ABBR-APOS	CO	co*alt*	~	FALSE
NN-ABBR-APOS	CR	cr*e*	~	FALSE
NN-ABBR-APOS	CR	cr*om*	~	FALSE
NN-ABBR-APOS	CS	cs*e*	~	FALSE
NN-ABBR-APOS	CS	cs*um*	~	FALSE
NN-ABBR-APOS	CU	~	~	FALSE
NN-ABBR-APOS	CU	cu*ır*	~	FALSE
NN-ABBR-APOS	DY	dy*e*	~	FALSE
NN-ABBR-APOS	DY	dy*um*	~	FALSE
NN-ABBR-APOS	ER	er*e*	~	FALSE
