tag	root	morphophonemics	features	is_compound
NN-ABBR	3G	3g*e*	~	FALSE
NN-ABBR	A.P.S.	a.p.s.*e*	~	FALSE
NN-ABBR	A.P.S.	a.p.s.*i*	~	FALSE
NN-ABBR	ABD	abd*e*	~	FALSE
NN-ABBR	ABS	abs*e*	~	FALSE
NN-ABBR	AC.	ac.*e*	~	FALSE
NN-ABBR	AC.	ac.*um*	~	FALSE
NN-ABBR	ADSL	adsl*e*	~	FALSE
NN-ABBR	ADSL	adsl*el*	~	FALSE
NN-ABBR	AL.	al.*e*	~	FALSE
NN-ABBR	AL.	al.*um*	~	FALSE
NN-ABBR	AM.	am.*e*	~	FALSE
NN-ABBR	AM.	am.*um*	~	FALSE
NN-ABBR	API	~	~	FALSE
NN-ABBR	APP	app*ep*	~	FALSE
NN-ABBR	APS	aps*e*	~	FALSE
NN-ABBR	APS	aps*i*	~	FALSE
NN-ABBR	AR.	ar.*e*	~	FALSE
NN-ABBR	AR.	ar.*on*	~	FALSE
NN-ABBR	AU.	au.*u*	~	FALSE
NN-ABBR	AU.	au.*ın*	~	FALSE
NN-ABBR	AZ.	az.*e*	~	FALSE
NN-ABBR	BA.	ba.*a*	~	FALSE
NN-ABBR	BA.	ba.*um*	~	FALSE
NN-ABBR	BE.	be.*e*	~	FALSE
NN-ABBR	BE.	be.*um*	~	FALSE
NN-ABBR	BR.	br.*e*	~	FALSE
NN-ABBR	BR.	br.*om*	~	FALSE
NN-ABBR	C.D.	c.d.*e*	~	FALSE
NN-ABBR	C.D.	c.d.*i*	~	FALSE
NN-ABBR	CA.	ca.*a*	~	FALSE
NN-ABBR	CA.	ca.*um*	~	FALSE
NN-ABBR	CB.	cb.*e*	~	FALSE
NN-ABBR	CC.	cc.*i*	~	FALSE
NN-ABBR	CC.	cc.*e*	~	FALSE
NN-ABBR	CD	cd*e*	~	FALSE
NN-ABBR	CD	cd*i*	~	FALSE
NN-ABBR	CD.	cd.*e*	~	FALSE
NN-ABBR	CD.	cd.*um*	~	FALSE
NN-ABBR	CD.	cd.*i*	~	FALSE
NN-ABBR	CE.	ce.*e*	~	FALSE
NN-ABBR	CE.	ce.*um*	~	FALSE
NN-ABBR	CL.	cl.*e*	~	FALSE
NN-ABBR	CL.	cl.*or*	~	FALSE
NN-ABBR	CO.	co.*o*	~	FALSE
NN-ABBR	CO.	co.*alt*	~	FALSE
NN-ABBR	CR.	cr.*e*	~	FALSE
NN-ABBR	CR.	cr.*om*	~	FALSE
NN-ABBR	CS.	cs.*e*	~	FALSE
NN-ABBR	CS.	cs.*um*	~	FALSE
NN-ABBR	CU.	cu.*u*	~	FALSE
NN-ABBR	CU.	cu.*ır*	~	FALSE
NN-ABBR	D.N.A.	d.n.a.*a*	~	FALSE
NN-ABBR	D.N.A.	d.n.a.*ey*	~	FALSE
NN-ABBR	D.V.D.	d.v.d.*e*	~	FALSE
NN-ABBR	D.V.D.	d.v.d.*i*	~	FALSE
NN-ABBR	DNA	~	~	FALSE
NN-ABBR	DNA	dna*ey*	~	FALSE
NN-ABBR	DNA.	dna.*a*	~	FALSE
NN-ABBR	DNA.	dna.*ey*	~	FALSE
NN-ABBR	DOÇ	~	~	FALSE
NN-ABBR	DOÇ.	doç	~	FALSE
NN-ABBR	DR	dr*e*	~	FALSE
