tag	root	morphophonemics	features	is_compound
UH	aa	~	~	FALSE
UH	abe	~	~	FALSE
UH	abo	~	~	FALSE
UH	abrakadabra	~	~	FALSE
UH	abu	~	~	FALSE
UH	afedersin	~	~	FALSE
UH	aha	~	~	FALSE
UH	ahacık	~	~	FALSE
UH	aleykümselâm	~	~	FALSE
UH	alimallah	~	~	FALSE
UH	allahaısmarladık	~	~	FALSE
UH	alo	~	~	FALSE
UH	amanın	~	~	FALSE
UH	amenna	~	~	FALSE
UH	âmin	~	~	FALSE
UH	aşkolsun	~	~	FALSE
UH	ayol	~	~	FALSE
UH	bakındı	~	~	FALSE
UH	başüstüne	~	~	FALSE
UH	behey	~	~	FALSE
UH	billahi	~	~	FALSE
UH	bismillâh	~	~	FALSE
UH	bom	~	~	FALSE
UH	bravo	~	~	FALSE
UH	bre	~	~	FALSE
UH	cana	~	~	FALSE
UH	canım	~	~	FALSE
UH	cık	cıK	~	FALSE
UH	cıs	~	~	FALSE
UH	çüş	~	~	FALSE
UH	dah	~	~	FALSE
UH	deh	~	~	FALSE
UH	e	~	~	FALSE
UH	efendim	~	~	FALSE
UH	efsus	~	~	FALSE
UH	eh	~	~	FALSE
UH	elaman	~	~	FALSE
UH	elhamdülillah	~	~	FALSE
UH	elveda	~	~	FALSE
UH	estağfurullah	~	~	FALSE
UH	evelallah	~	~	FALSE
UH	ey	~	~	FALSE
UH	eyvah	~	~	FALSE
UH	eyvallah	~	~	FALSE
UH	fesuphanallah	~	~	FALSE
UH	gidi	~	~	FALSE
UH	güzelim	~	~	FALSE
UH	ha	~	~	FALSE
UH	haa	~	~	FALSE
UH	hadi	~	~	FALSE
UH	hadisene	~	~	FALSE
UH	hafazanallah	~	~	FALSE
UH	hah	~	~	FALSE
UH	hahha	~	~	FALSE
UH	hahhah	~	~	FALSE
UH	hamdolsun	~	~	FALSE
UH	hâşâ	~	~	FALSE
UH	hasbetenlillâh	~	~	FALSE
UH	hay	~	~	FALSE
UH	hayda	~	~	FALSE
UH	haydi	~	~	FALSE
UH	haydin	~	~	FALSE
UH	haydindi	~	~	FALSE
UH	haydisene	~	~	FALSE
UH	hayfa	~	~	FALSE
UH	hayhay	~	~	FALSE
UH	hayrola	~	~	FALSE
UH	he	~	~	FALSE
UH	hey	~	~	FALSE
UH	heyamola	~	~	FALSE
UH	heyhat	~	~	FALSE
UH	hiş	~	~	FALSE
UH	hişt	~	~	FALSE
UH	hım	~	~	FALSE
UH	hodri	~	~	FALSE
UH	hop	~	~	FALSE
UH	hoppala	~	~	FALSE
UH	hoşçakal	~	~	FALSE
UH	hoşt	~	~	FALSE
UH	höst	~	~	FALSE
UH	höt	~	~	FALSE
UH	hurra	~	~	FALSE
UH	iğ	~	~	FALSE
UH	illâllah	~	~	FALSE
UH	inşallah	~	~	FALSE
UH	işte	~	~	FALSE
UH	itoğluit	~	~	FALSE
UH	ıh	~	~	FALSE
UH	kekâ	~	~	FALSE
UH	kekâh	~	~	FALSE
UH	keşke	~	~	FALSE
UH	keşki	~	~	FALSE
UH	kimbilir	~	~	FALSE
UH	lahavle	~	~	FALSE
UH	lan	~	~	FALSE
UH	lebbeyk	lebbeyK	~	FALSE
UH	lütfen	~	~	FALSE
UH	maazallah	~	~	FALSE
UH	maşallah	~	~	FALSE
UH	merhaba	~	~	FALSE
UH	nah	~	~	FALSE
UH	nanay	~	~	FALSE
UH	neuzübillâh	~	~	FALSE
UH	neyleyim	~	~	FALSE
UH	nuruaynım	~	~	FALSE
UH	nuruçeşmim	~	~	FALSE
UH	nurudidem	~	~	FALSE
UH	of	~	~	FALSE
UH	öf	~	~	FALSE
UH	oh	~	~	FALSE
UH	oha	~	~	FALSE
UH	öhö	~	~	FALSE
UH	ole	~	~	FALSE
UH	oley	~	~	FALSE
UH	ömrübillâh	~	~	FALSE
UH	oo	~	~	FALSE
UH	oof	~	~	FALSE
UH	ooo	~	~	FALSE
UH	pardon	~	~	FALSE
UH	pehpeh	~	~	FALSE
UH	pışt	~	~	FALSE
UH	pöf	~	~	FALSE
UH	pöh	~	~	FALSE
UH	püf	~	~	FALSE
UH	sağlığınıza	~	~	FALSE
UH	selâmünaleyküm	~	~	FALSE
UH	sıkıysa	~	~	FALSE
UH	sobe	~	~	FALSE
UH	suphanallah	~	~	FALSE
UH	tös	~	~	FALSE
UH	tu	~	~	FALSE
UH	tü	~	~	FALSE
UH	tuh	~	~	FALSE
UH	tüh	~	~	FALSE
UH	tuu	~	~	FALSE
UH	tuuu	~	~	FALSE
UH	tüüü	~	~	FALSE
UH	uf	~	~	FALSE
UH	üf	~	~	FALSE
UH	ulan	~	~	FALSE
UH	ülen	~	~	FALSE
UH	vah	~	~	FALSE
UH	vallaha	~	~	FALSE
UH	vallahi	~	~	FALSE
UH	varda	~	~	FALSE
UH	vay	~	~	FALSE
UH	vesselâm	~	~	FALSE
UH	vire	~	~	FALSE
UH	voyvo	~	~	FALSE
UH	yahey	~	~	FALSE
UH	yahu	~	~	FALSE
UH	yallah	~	~	FALSE
UH	yarabbi	~	~	FALSE
UH	yaşasın	~	~	FALSE
UH	yazık	~	~	FALSE
UH	yo	~	~	FALSE
UH	yokoğluyok	yokoğluyoK	~	FALSE
UH	yoo	~	~	FALSE
UH	yuf	~	~	FALSE
UH	yuh	~	~	FALSE
UH	yuha	~	~	FALSE
UH	zınk	zınK	~	FALSE
