tag	root	morphophonemics	features	is_compound
VB-HN-HR-DHR	addol	~	~	FALSE
VB-HN-HR-DHR	affol	~	~	FALSE
VB-HN-HR-DHR	al	~	~	FALSE
VB-HN-HR-DHR	arabul	~	~	FALSE
VB-HN-HR-DHR	artakal	~	~	FALSE
VB-HN-HR-DHR	arzol	~	~	FALSE
VB-HN-HR-DHR	aslol	~	~	FALSE
VB-HN-HR-DHR	azlol	~	~	FALSE
VB-HN-HR-DHR	bahşol	~	~	FALSE
VB-HN-HR-DHR	bakakal	~	~	FALSE
VB-HN-HR-DHR	bil	~	~	FALSE
VB-HN-HR-DHR	bolal	~	~	FALSE
VB-HN-HR-DHR	bul	~	~	FALSE
VB-HN-HR-DHR	defol	~	~	FALSE
VB-HN-HR-DHR	devral	~	~	FALSE
VB-HN-HR-DHR	devrol	~	~	FALSE
VB-HN-HR-DHR	donakal	~	~	FALSE
VB-HN-HR-DHR	eğil	~	~	FALSE
VB-HN-HR-DHR	farzol	~	~	FALSE
VB-HN-HR-DHR	feyzal	~	~	FALSE
VB-HN-HR-DHR	gadrol	~	~	FALSE
VB-HN-HR-DHR	gaşyol	~	~	FALSE
VB-HN-HR-DHR	gedil	~	~	FALSE
VB-HN-HR-DHR	gel	~	~	FALSE
VB-HN-HR-DHR	genel	~	~	FALSE
VB-HN-HR-DHR	hallol	~	~	FALSE
VB-HN-HR-DHR	hapsol	~	~	FALSE
VB-HN-HR-DHR	haşrol	~	~	FALSE
VB-HN-HR-DHR	hazırol	~	~	FALSE
VB-HN-HR-DHR	hoşgel	~	~	FALSE
VB-HN-HR-DHR	hükmol	~	~	FALSE
VB-HN-HR-DHR	incel	~	~	FALSE
VB-HN-HR-DHR	kaçıl	~	~	FALSE
VB-HN-HR-DHR	kahrol	~	~	FALSE
VB-HN-HR-DHR	kal	~	~	FALSE
VB-HN-HR-DHR	kalakal	~	~	FALSE
VB-HN-HR-DHR	katıl	~	~	FALSE
VB-HN-HR-DHR	kaybol	~	~	FALSE
VB-HN-HR-DHR	kaydol	~	~	FALSE
VB-HN-HR-DHR	keşfol	~	~	FALSE
VB-HN-HR-DHR	kocal	~	~	FALSE
VB-HN-HR-DHR	lağvol	~	~	FALSE
VB-HN-HR-DHR	mahvol	~	~	FALSE
VB-HN-HR-DHR	malol	~	~	FALSE
VB-HN-HR-DHR	menol	~	~	FALSE
VB-HN-HR-DHR	nakşol	~	~	FALSE
VB-HN-HR-DHR	neşrol	~	~	FALSE
VB-HN-HR-DHR	ol	~	~	FALSE
VB-HN-HR-DHR	öl	~	~	FALSE
VB-HN-HR-DHR	rastgel	~	~	FALSE
VB-HN-HR-DHR	reddol	~	~	FALSE
VB-HN-HR-DHR	şadol	~	~	FALSE
VB-HN-HR-DHR	sağol	~	~	FALSE
VB-HN-HR-DHR	satınal	~	~	FALSE
VB-HN-HR-DHR	sırrol	~	~	FALSE
VB-HN-HR-DHR	vahyol	~	~	FALSE
VB-HN-HR-DHR	varol	~	~	FALSE
VB-HN-HR-DHR	vazgel	~	~	FALSE
VB-HN-HR-DHR	yassıl	~	~	FALSE
VB-HN-HR-DHR	yeral	~	~	FALSE
VB-HN-HR-DHR	yoğal	~	~	FALSE
VB-HN-HR-DHR	yokol	~	~	FALSE
VB-HN-HR-DHR	zannol	~	~	FALSE
VB-HN-HR-DHR	zehrol	~	~	FALSE
VB-HN-HR-DHR	zikrol	~	~	FALSE
