tag	root	morphophonemics	features	is_compound
IN	@	~	+[ComplementType=CBare]	FALSE
IN	açı	~	+[ComplementType=CBare]	FALSE
IN	açı	~	+[ComplementType=CGen]	FALSE
IN	ad	~	+[ComplementType=CBare]	FALSE
IN	ad	~	+[ComplementType=CGen]	FALSE
IN	ait	~	+[ComplementType=CDat]	FALSE
IN	akabin	~	+[ComplementType=CGen]	FALSE
IN	aksi	~	+[ComplementType=CBare]	FALSE
IN	aksi	~	+[ComplementType=CGen]	FALSE
IN	aleyh	~	+[ComplementType=CBare]	FALSE
IN	aleyh	~	+[ComplementType=CGen]	FALSE
IN	alt	~	+[ComplementType=CBare]	FALSE
IN	alt	~	+[ComplementType=CGen]	FALSE
IN	amaç	~	+[ComplementType=CBare]	FALSE
IN	amade	~	+[ComplementType=CDat]	FALSE
IN	ara	~	+[ComplementType=CBare]	FALSE
IN	ara	~	+[ComplementType=CGen]	FALSE
IN	aracılık	~	+[ComplementType=CBare]	FALSE
IN	aracılık	~	+[ComplementType=CGen]	FALSE
IN	arka	~	+[ComplementType=CBare]	FALSE
IN	arka	~	+[ComplementType=CGen]	FALSE
IN	art	~	+[ComplementType=CBare]	FALSE
IN	art	~	+[ComplementType=CGen]	FALSE
IN	art	art~	+[ComplementType=CGen]	FALSE
IN	aşağı	~	+[ComplementType=CAbl]	FALSE
IN	aşağı	~	+[ComplementType=CBare]	FALSE
IN	aşağı	~	+[ComplementType=CGen]	FALSE
IN	aşkın	~	+[ComplementType=CAcc]	FALSE
IN	atfen	~	+[ComplementType=CDat]	FALSE
IN	bakım	~	+[ComplementType=CBare]	FALSE
IN	bakım	~	+[ComplementType=CGen]	FALSE
IN	başka	~	+[ComplementType=CAbl]	FALSE
IN	baz	~	+[ComplementType=CBare]	FALSE
IN	beraber	~	+[ComplementType=CIns]	FALSE
IN	beraberinde	~	+[ComplementType=CGen]	FALSE
IN	beri	~	+[ComplementType=CAbl]	FALSE
IN	binaen	~	+[ComplementType=CDat]	FALSE
IN	birlikte	~	+[ComplementType=CIns]	FALSE
IN	boy	~	+[ComplementType=CBare]	FALSE
IN	boyunca	~	+[ComplementType=CBare]	FALSE
IN	çevre	~	+[ComplementType=CBare]	FALSE
IN	çevre	~	+[ComplementType=CGen]	FALSE
IN	civar	~	+[ComplementType=CBare]	FALSE
IN	civar	~	+[ComplementType=CGen]	FALSE
IN	çok	~	+[ComplementType=CAbl]	FALSE
IN	çok	çoK	+[ComplementType=CAbl]	FALSE
IN	dâhil	~	+[ComplementType=CBare]	FALSE
IN	dair	~	+[ComplementType=CDat]	FALSE
IN	defa	~	+[ComplementType=CNum]	FALSE
IN	değin	~	+[ComplementType=CDat]	FALSE
IN	dek	~	+[ComplementType=CDat]	FALSE
IN	denli	~	+[ComplementType=CBare]	FALSE
IN	derece	~	+[ComplementType=CBare]	FALSE
IN	deyi	~	+[ComplementType=CFin]	FALSE
IN	diye	~	+[ComplementType=CFin]	FALSE
IN	dış	~	+[ComplementType=CBare]	FALSE
IN	dış	~	+[ComplementType=CGen]	FALSE
IN	dışarı	~	+[ComplementType=CAbl]	FALSE
IN	dışarı	~	+[ComplementType=CBare]	FALSE
IN	dışarı	~	+[ComplementType=CGen]	FALSE
IN	doğru	~	+[ComplementType=CDat]	FALSE
IN	dolayı	~	+[ComplementType=CAbl]	FALSE
IN	dolayı	~	+[ComplementType=CBare]	FALSE
IN	durum	~	+[ComplementType=CBare]	FALSE
IN	durum	~	+[ComplementType=CGen]	FALSE
IN	düzey	~	+[ComplementType=CBare]	FALSE
IN	eşlik	~	+[ComplementType=CBare]	FALSE
IN	eşlik	~	+[ComplementType=CGen]	FALSE
IN	esna	~	+[ComplementType=CBare]	FALSE
IN	etraf	~	+[ComplementType=CBare]	FALSE
IN	etraf	~	+[ComplementType=CGen]	FALSE
IN	evvel	~	+[ComplementType=CAbl]	FALSE
IN	fazla	~	+[ComplementType=CAbl]	FALSE
IN	gayrı	~	+[ComplementType=CAbl]	FALSE
IN	geçe	~	+[ComplementType=CNum]	FALSE
IN	gerek	~	+[ComplementType=CBare]	FALSE
IN	gibi	~	+[ComplementType=CBare]	FALSE
IN	gibi	~	+[ComplementType=CGen]	FALSE
IN	göre	~	+[ComplementType=CDat]	FALSE
IN	göre	~	+[ComplementType=CFin]	FALSE
IN	hak	hak"	+[ComplementType=CBare]	FALSE
IN	hak	hak"	+[ComplementType=CGen]	FALSE
IN	hal	h{l	+[ComplementType=CBare]	FALSE
IN	hariç	~	+[ComplementType=CBare]	FALSE
IN	hariç	~	+[ComplementType=CGen]	FALSE
IN	hasep	hasep~	+[ComplementType=CBare]	FALSE
IN	hesap	hesap~	+[ComplementType=CBare]	FALSE
IN	hitaben	~	+[ComplementType=CDat]	FALSE
IN	ibaret	~	+[ComplementType=CAbl]	FALSE
IN	iç	~	+[ComplementType=CBare]	FALSE
IN	iç	~	+[ComplementType=CGen]	FALSE
IN	içeri	~	+[ComplementType=CAbl]	FALSE
IN	içeri	~	+[ComplementType=CBare]	FALSE
IN	içeri	~	+[ComplementType=CGen]	FALSE
IN	için	~	+[ComplementType=CBare]	FALSE
IN	için	~	+[ComplementType=CGen]	FALSE
IN	içre	~	+[ComplementType=CBare]	FALSE
IN	ilaveten	~	+[ComplementType=CDat]	FALSE
IN	ile	~	+[ComplementType=CBare]	FALSE
IN	ile	~	+[ComplementType=CGen]	FALSE
IN	ile	~	+[ComplementType=CBare]	FALSE
IN	ilgili	~	+[ComplementType=CIns]	FALSE
IN	ilişkin	~	+[ComplementType=CDat]	FALSE
IN	inat	~	+[ComplementType=CDat]	FALSE
IN	indi	~	+[ComplementType=CBare]	FALSE
IN	istinaden	~	+[ComplementType=CDat]	FALSE
IN	ithafen	~	+[ComplementType=CDat]	FALSE
IN	itibar	~	+[ComplementType=CBare]	FALSE
IN	itibar	~	+[ComplementType=CGen]	FALSE
IN	itibaren	~	+[ComplementType=CAbl]	FALSE
IN	kadar	~	+[ComplementType=CBare]	FALSE
IN	kadar	~	+[ComplementType=CDat]	FALSE
IN	kadar	~	+[ComplementType=CGen]	FALSE
IN	kala	~	+[ComplementType=CNum]	FALSE
IN	karşı	~	+[ComplementType=CBare]	FALSE
