tag	root	morphophonemics	features	is_compound
RB	acaba	~	~	FALSE
RB	aceleten	~	~	FALSE
RB	acep	acep~	~	FALSE
RB	acilen	~	~	FALSE
RB	âcizane	~	~	FALSE
RB	adedî	~	~	FALSE
RB	âdeta	~	~	FALSE
RB	ahiren	~	~	FALSE
RB	ahlaken	~	~	FALSE
RB	akilane	~	~	FALSE
RB	aklen	~	~	FALSE
RB	alabildiğine	~	~	FALSE
RB	alelacele	~	~	FALSE
RB	alelhesap	alelhesap~	~	FALSE
RB	alelhusus	~	~	FALSE
RB	alelıtlak	alelıtlaK	~	FALSE
RB	alelumum	~	~	FALSE
RB	alelusul	alelus}l	~	FALSE
RB	alenen	~	~	FALSE
RB	alessabah	~	~	FALSE
RB	amabile	~	~	FALSE
RB	amirane	~	~	FALSE
RB	amma	~	~	FALSE
RB	anbean	~	~	FALSE
RB	anca	~	~	FALSE
RB	ancak	~	~	FALSE
RB	anîde	~	~	FALSE
RB	aniden	~	~	FALSE
RB	anında	~	~	FALSE
RB	anlaşılan	~	~	FALSE
RB	ansızın	~	~	FALSE
RB	antrparantez	~	~	FALSE
RB	apansız	~	+[Emphasis=True]	FALSE
RB	apartopar	~	~	FALSE
RB	arasıra	~	~	FALSE
RB	ardarda	~	~	FALSE
RB	arifane	~	~	FALSE
RB	ariyeten	~	~	FALSE
RB	arkaüstü	arkaüst	~	TRUE
RB	arkaüstü	~	~	FALSE
RB	artık	~	~	FALSE
RB	asaleten	~	~	FALSE
RB	aşikâre	~	~	FALSE
RB	âşıkane	~	~	FALSE
RB	asla	~	~	FALSE
RB	aslen	~	~	FALSE
RB	aslında	~	~	FALSE
RB	atbaşı	atbaş	~	TRUE
RB	atbaşı	~	~	FALSE
RB	ayaküstü	ayaküst	~	TRUE
RB	ayaküstü	~	~	FALSE
RB	ayaküzeri	ayaküzer	~	TRUE
RB	ayaküzeri	~	~	FALSE
RB	aybeay	~	~	FALSE
RB	aynen	~	~	FALSE
RB	ayrıca	~	~	FALSE
RB	ayrıyeten	~	~	FALSE
RB	az	~	~	FALSE
RB	azimkârane	~	~	FALSE
RB	azıcık	~	~	FALSE
RB	badehu	~	~	FALSE
RB	badema	~	~	FALSE
RB	bahusus	~	~	FALSE
RB	bakarak	~	~	FALSE
RB	bakarsın	~	~	FALSE
RB	balıklama	~	~	FALSE
RB	bari	~	~	FALSE
RB	başabaş	~	~	FALSE
RB	başbaşa	~	~	FALSE
RB	başta	~	~	FALSE
RB	baştan	~	~	FALSE
RB	baştanbaşa	~	~	FALSE
RB	batsat	~	~	FALSE
RB	bayramüstü	bayramüst	~	TRUE
RB	bayramüstü	~	~	FALSE
RB	bayramüzeri	bayramüzer	~	TRUE
RB	bayramüzeri	~	~	FALSE
RB	bazen	~	~	FALSE
RB	bedaheten	~	~	FALSE
RB	bedenen	~	~	FALSE
RB	begayet	~	~	FALSE
RB	belki	~	~	FALSE
RB	bencileyin	~	~	FALSE
RB	beraber	~	~	FALSE
RB	berenarı	~	~	FALSE
RB	bertafsil	~	~	FALSE
RB	bilâhare	~	~	FALSE
RB	bilâkis	~	~	FALSE
RB	bilâsebep	bilâsebep~	~	FALSE
RB	bilfarz	~	~	FALSE
RB	bilfiil	~	~	FALSE
RB	bilhassa	~	~	FALSE
RB	bililtizam	~	~	FALSE
RB	bilistifade	~	~	FALSE
RB	bilmukabele	~	~	FALSE
RB	bilmünasebe	~	~	FALSE
RB	bilvasıta	~	~	FALSE
RB	binnetice	~	~	FALSE
RB	bir	~	~	FALSE
RB	birara	~	~	FALSE
RB	birarada	~	~	FALSE
RB	biraz	~	~	FALSE
RB	birazcık	~	~	FALSE
RB	birazdan	~	~	FALSE
RB	birbaşına	~	~	FALSE
RB	birden	~	~	FALSE
RB	birdenbire	~	~	FALSE
RB	birlikte	~	~	FALSE
RB	bitevi	~	~	FALSE
RB	biteviye	~	~	FALSE
RB	bittabi	~	~	FALSE
RB	bizatihi	~	~	FALSE
RB	bizcileyin	~	~	FALSE
RB	bizzat	~	~	FALSE
RB	bıldır	~	~	FALSE
RB	böyle	~	~	FALSE
RB	böylecene	~	~	FALSE
RB	boyuna	~	~	FALSE
RB	çabucacık	~	~	FALSE
RB	çabucak	~	~	FALSE
RB	çabuk	~	~	FALSE
RB	cahilane	~	~	FALSE
RB	çalakalem	~	~	FALSE
RB	çalakamçı	~	~	FALSE
RB	çalakaşık	~	~	FALSE
RB	çalakılıç	~	~	FALSE
RB	çalakürek	~	~	FALSE
RB	çalyaka	~	~	FALSE
RB	caniyane	~	~	FALSE
RB	canıgönülden	~	~	FALSE
RB	canıyürekten	~	~	FALSE
RB	cansiparane	~	~	FALSE
RB	cansiperane	~	~	FALSE
RB	çaprazlamasına	~	~	FALSE
RB	çaprazvari	~	~	FALSE
RB	çarçabuk	~	+[Emphasis=True]	FALSE
RB	çarnaçar	~	~	FALSE
RB	cartadak	~	~	FALSE
RB	cartadan	~	~	FALSE
RB	çatpat	~	~	FALSE
RB	cebren	~	~	FALSE
RB	cebrî	~	~	FALSE
RB	ceffelkalem	~	~	FALSE
RB	ceman	~	~	FALSE
RB	çepçevre	~	+[Emphasis=True]	FALSE
RB	çepeçevre	~	+[Emphasis=True]	FALSE
RB	cesurane	~	~	FALSE
RB	cetbecet	cetbecet~"	~	FALSE
RB	cevaben	~	~	FALSE
RB	cidden	~	~	FALSE
RB	cihangirane	~	~	FALSE
RB	cismen	~	~	FALSE
RB	çınsabah	~	~	FALSE
RB	çoğun	~	~	FALSE
RB	çoğunlukla	~	~	FALSE
RB	çok	çoK	~	FALSE
RB	cuk	cuK	~	FALSE
RB	cumburlop	cumburlop~	~	FALSE
RB	cümleten	~	~	FALSE
RB	cuppadak	~	~	FALSE
RB	daha	~	~	FALSE
RB	dâhilen	~	~	FALSE
RB	daima	~	~	FALSE
RB	dalgündüz	~	~	FALSE
RB	dangadak	~	~	FALSE
RB	defaatle	~	~	FALSE
RB	defalarca	~	~	FALSE
RB	defaten	~	~	FALSE
