tag	root	morphophonemics	features	is_compound
CD-DIST	altışar	~	~	FALSE
CD-DIST	altmışar	~	~	FALSE
CD-DIST	beşer	~	~	FALSE
CD-DIST	bilyonar	~	~	FALSE
CD-DIST	biner	~	~	FALSE
CD-DIST	birer	~	~	FALSE
CD-DIST	desilyonar	~	~	FALSE
CD-DIST	doksanar	~	~	FALSE
CD-DIST	dokuzar	~	~	FALSE
CD-DIST	dörder	~	~	FALSE
CD-DIST	duodesilyonar	~	~	FALSE
CD-DIST	duotrijintilyonar	~	~	FALSE
CD-DIST	duovijintilyonar	~	~	FALSE
CD-DIST	ellişer	~	~	FALSE
CD-DIST	hekstilyonar	~	~	FALSE
CD-DIST	ikişer	~	~	FALSE
CD-DIST	katordesilyonar	~	~	FALSE
CD-DIST	katortrijintilyonar	~	~	FALSE
CD-DIST	katorvijintilyonar	~	~	FALSE
CD-DIST	katrilyarar	~	~	FALSE
CD-DIST	katrilyonar	~	~	FALSE
CD-DIST	kendesilyonar	~	~	FALSE
CD-DIST	kentilyonar	~	~	FALSE
CD-DIST	kentrijintilyonar	~	~	FALSE
CD-DIST	kenvijintilyonar	~	~	FALSE
CD-DIST	kırkar	~	~	FALSE
CD-DIST	milyarar	~	~	FALSE
CD-DIST	milyonar	~	~	FALSE
CD-DIST	nonilyonar	~	~	FALSE
CD-DIST	novemdesilyonar	~	~	FALSE
CD-DIST	novemvijintilyonar	~	~	FALSE
CD-DIST	oktilyonar	~	~	FALSE
CD-DIST	oktodesilyonar	~	~	FALSE
CD-DIST	oktovijintilyonar	~	~	FALSE
CD-DIST	onar	~	~	FALSE
CD-DIST	otuzar	~	~	FALSE
CD-DIST	sekizer	~	~	FALSE
CD-DIST	seksdesilyonar	~	~	FALSE
CD-DIST	seksener	~	~	FALSE
CD-DIST	sekstilyonar	~	~	FALSE
CD-DIST	sekstrijintilyonar	~	~	FALSE
CD-DIST	seksvijintilyonar	~	~	FALSE
CD-DIST	sentilyonar	~	~	FALSE
CD-DIST	septendesilyonar	~	~	FALSE
CD-DIST	septenvijintilyonar	~	~	FALSE
CD-DIST	septilyonar	~	~	FALSE
CD-DIST	sıfırar	~	~	FALSE
CD-DIST	tredesilyonar	~	~	FALSE
CD-DIST	tretrijintilyonar	~	~	FALSE
CD-DIST	trevijintilyonar	~	~	FALSE
CD-DIST	trijintilyonar	~	~	FALSE
CD-DIST	trilyarar	~	~	FALSE
CD-DIST	trilyonar	~	~	FALSE
CD-DIST	üçer	~	~	FALSE
CD-DIST	undesilyonar	~	~	FALSE
CD-DIST	untrijintilyonar	~	~	FALSE
CD-DIST	unvijintilyonar	~	~	FALSE
CD-DIST	vijintilyonar	~	~	FALSE
CD-DIST	yedişer	~	~	FALSE
CD-DIST	yetmişer	~	~	FALSE
CD-DIST	yirmişer	~	~	FALSE
CD-DIST	yüzer	~	~	FALSE
