tag	root	morphophonemics	features	is_compound
NNP	Aba	~	~	FALSE
NNP	Abaç	~	~	FALSE
NNP	Abaca	~	~	FALSE
NNP	Abacan	~	~	FALSE
NNP	Âbad	~	~	FALSE
NNP	Abadan	~	~	FALSE
NNP	Abadî	~	~	FALSE
NNP	Abak	~	~	FALSE
NNP	Abaka	~	~	FALSE
NNP	Abakan	~	~	FALSE
NNP	Abakay	~	~	FALSE
NNP	Abakıymış	~	~	FALSE
NNP	Abala	~	~	FALSE
NNP	Abana	~	~	FALSE
NNP	Abar	~	~	FALSE
NNP	Abaş	~	~	FALSE
NNP	Abay	~	~	FALSE
NNP	Abayhan	~	~	FALSE
NNP	Abaza	~	~	FALSE
NNP	Abbad	~	~	FALSE
NNP	Abbas	~	~	FALSE
NNP	Abbase	~	~	FALSE
NNP	Abbasî	~	~	FALSE
NNP	Abbaz	~	~	FALSE
NNP	Abçar	~	~	FALSE
NNP	Abdal	~	~	FALSE
NNP	Abdan	~	~	FALSE
NNP	Âbdar	~	~	FALSE
NNP	Abdi	~	~	FALSE
NNP	Abdil	~	~	FALSE
NNP	Abdilkadir	~	~	FALSE
NNP	Abdilkerim	~	~	FALSE
NNP	Abdin	~	~	FALSE
NNP	Abdiş	~	~	FALSE
NNP	Abdo	~	~	FALSE
NNP	Abdu	~	~	FALSE
NNP	Abdu'l-Melik	~	~	FALSE
NNP	Abdüddar	~	~	FALSE
NNP	Abdul	~	~	FALSE
NNP	Abdüla'la	~	~	FALSE
NNP	Abdülafuv	~	~	FALSE
NNP	Abdülahat	~	~	FALSE
NNP	Abdülali	~	~	FALSE
NNP	Abdulalim	~	~	FALSE
NNP	Abdülâlim	~	~	FALSE
NNP	Abdulazim	~	~	FALSE
NNP	Abdülazim	~	~	FALSE
NNP	Abdulaziz	~	~	FALSE
NNP	Abdülaziz	~	~	FALSE
NNP	Abdulbaki	~	~	FALSE
NNP	Abdülbaki	~	~	FALSE
NNP	Abdulbakir	~	~	FALSE
NNP	Abdulbari	~	~	FALSE
NNP	Abdülbari	~	~	FALSE
NNP	Abdülbasir	~	~	FALSE
NNP	Abdülbasit	~	~	FALSE
NNP	Abdülbasıt	~	~	FALSE
NNP	Abdülbedi	~	~	FALSE
NNP	Abdulbekir	~	~	FALSE
NNP	Abdülberr	~	~	FALSE
NNP	Abdulcabbar	~	~	FALSE
NNP	Abdülcabbar	~	~	FALSE
NNP	Abdulcebar	~	~	FALSE
NNP	Abdulcebbar	~	~	FALSE
NNP	Abdülcebbar	~	~	FALSE
NNP	Abdulcelâl	abdulcel{l	~	FALSE
NNP	Abdulcelil	~	~	FALSE
NNP	Abdülcelil	~	~	FALSE
