tag	root	morphophonemics	features	is_compound
DUP	abur	~	~	FALSE
DUP	allak	~	~	FALSE
DUP	anha	~	~	FALSE
DUP	apul	~	~	FALSE
DUP	aşna	~	~	FALSE
DUP	aval	~	~	FALSE
DUP	ayan	~	~	FALSE
DUP	bangır	~	~	FALSE
DUP	bıcır	~	~	FALSE
DUP	bıngıl	~	~	FALSE
DUP	börtü	~	~	FALSE
DUP	boslu	~	~	FALSE
DUP	bücüş	~	~	FALSE
DUP	büğrü	~	~	FALSE
DUP	bullak	~	~	FALSE
DUP	burgacık	~	~	FALSE
DUP	çağıl	~	~	FALSE
DUP	çakıl	~	~	FALSE
DUP	çakkal	~	~	FALSE
DUP	çangır	~	~	FALSE
DUP	cart	~	~	FALSE
DUP	çat	~	~	FALSE
DUP	çatıl	~	~	FALSE
DUP	çatır	~	~	FALSE
DUP	çatra	~	~	FALSE
DUP	çatur	~	~	FALSE
DUP	cayır	~	~	FALSE
DUP	cazır	~	~	FALSE
DUP	çer	~	~	FALSE
DUP	ceste	~	~	FALSE
DUP	çit	~	~	FALSE
DUP	ciyak	~	~	FALSE
DUP	çın	~	~	FALSE
DUP	çıngır	~	~	FALSE
DUP	çıpı	~	~	FALSE
DUP	cırıl	~	~	FALSE
DUP	çıtır	~	~	FALSE
DUP	cıvıl	~	~	FALSE
DUP	cıyak	~	~	FALSE
DUP	cıyır	~	~	FALSE
DUP	cızıl	~	~	FALSE
DUP	cızır	~	~	FALSE
DUP	cubur	~	~	FALSE
DUP	cumbul	~	~	FALSE
DUP	cumbur	~	~	FALSE
DUP	cungul	~	~	FALSE
DUP	çungul	~	~	FALSE
DUP	çungur	~	~	FALSE
DUP	çurpuk	~	~	FALSE
DUP	çutur	~	~	FALSE
DUP	cuzur	~	~	FALSE
DUP	dan	~	~	FALSE
DUP	dangıl	~	~	FALSE
DUP	dangır	~	~	FALSE
DUP	dank	danK	~	FALSE
DUP	deh	~	~	FALSE
DUP	dingil	~	~	FALSE
DUP	dığdık	~	~	FALSE
DUP	dımbır	~	~	FALSE
DUP	dır	~	~	FALSE
DUP	dızdık	~	~	FALSE
DUP	dızdız	~	~	FALSE
DUP	dungul	~	~	FALSE
DUP	eciş	~	~	FALSE
DUP	eften	~	~	FALSE
DUP	estek	~	~	FALSE
DUP	farta	~	~	FALSE
DUP	fasa	~	~	FALSE
DUP	faşır	~	~	FALSE
DUP	feşmekân	~	~	FALSE
DUP	festekiz	~	~	FALSE
DUP	filân	~	~	FALSE
DUP	fingir	~	~	FALSE
DUP	fişne	~	~	FALSE
DUP	fiso	~	~	FALSE
DUP	fıkır	~	~	FALSE
DUP	fıldır	~	~	FALSE
DUP	fırıl	~	~	FALSE
DUP	fıs	~	~	FALSE
DUP	fış	~	~	FALSE
DUP	fısıl	~	~	FALSE
DUP	fışıl	~	~	FALSE
DUP	fısır	~	~	FALSE
DUP	fışır	~	~	FALSE
DUP	fokur	~	~	FALSE
DUP	fosur	~	~	FALSE
DUP	foşur	~	~	FALSE
DUP	fücur	~	~	FALSE
DUP	furt	~	~	FALSE
DUP	gacır	~	~	FALSE
DUP	garç	garÇ	~	FALSE
DUP	gıcır	~	~	FALSE
DUP	gıdak	~	~	FALSE
DUP	götün	~	~	FALSE
DUP	gucur	~	~	FALSE
DUP	güldür	~	~	FALSE
DUP	gümbür	~	~	FALSE
DUP	gur	~	~	FALSE
DUP	gür	~	~	FALSE
DUP	gurul	~	~	FALSE
DUP	gürül	~	~	FALSE
DUP	haldır	~	~	FALSE
DUP	hapır	~	~	FALSE
DUP	hapur	~	~	FALSE
DUP	harıl	~	~	FALSE
DUP	hart	~	~	FALSE
DUP	harta	~	~	FALSE
DUP	haşır	~	~	FALSE
DUP	hav	~	~	FALSE
DUP	hık	hıK	~	FALSE
DUP	hınk	hınK	~	FALSE
DUP	hır	~	~	FALSE
DUP	hırıl	~	~	FALSE
DUP	hış	~	~	FALSE
DUP	hışıl	~	~	FALSE
DUP	hışır	~	~	FALSE
DUP	hoh	~	~	FALSE
DUP	homur	~	~	FALSE
DUP	hopur	~	~	FALSE
DUP	höpür	~	~	FALSE
DUP	horul	~	~	FALSE
DUP	huldur	~	~	FALSE
DUP	hüngür	~	~	FALSE
DUP	hupur	~	~	FALSE
DUP	hurt	~	~	FALSE
DUP	huşur	~	~	FALSE
DUP	hutur	~	~	FALSE
DUP	ifil	~	~	FALSE
DUP	ıcığı	~	~	FALSE
DUP	ıkına	~	~	FALSE
DUP	ıklım	~	~	FALSE
DUP	ılgıt	~	~	FALSE
DUP	ıpıl	~	~	FALSE
DUP	ışıl	~	~	FALSE
DUP	ıvır	~	~	FALSE
DUP	kacak	~	~	FALSE
DUP	kakır	~	~	FALSE
DUP	kallem	~	~	FALSE
DUP	karman	~	~	FALSE
DUP	katur	~	~	FALSE
DUP	kıdım	~	~	FALSE
DUP	kıh	~	~	FALSE
DUP	kıkır	~	~	FALSE
DUP	kımıl	~	~	FALSE
DUP	kıpır	~	~	FALSE
DUP	kırdılı	~	~	FALSE
DUP	kırın	~	~	FALSE
DUP	kırt	~	~	FALSE
DUP	kıs	~	~	FALSE
DUP	kışkış	~	~	FALSE
DUP	kıtır	~	~	FALSE
DUP	kıvıl	~	~	FALSE
DUP	kıvır	~	~	FALSE
DUP	kuçu	~	~	FALSE
DUP	küldür	~	~	FALSE
DUP	küngür	~	~	FALSE
DUP	küt	~	~	FALSE
DUP	kütür	~	~	FALSE
DUP	kuyut	~	~	FALSE
DUP	langır	~	~	FALSE
DUP	langur	~	~	FALSE
DUP	lıkır	~	~	FALSE
DUP	lopur	~	~	FALSE
DUP	löpür	~	~	FALSE
DUP	lungur	~	~	FALSE
DUP	me	~	~	FALSE
DUP	meyal	mey{l	~	FALSE
DUP	miyav	~	~	FALSE
DUP	mıngır	~	~	FALSE
DUP	mır	~	~	FALSE
DUP	mırıl	~	~	FALSE
DUP	mırın	~	~	FALSE
DUP	mışıl	~	~	FALSE
DUP	mö	~	~	FALSE
DUP	of	~	~	FALSE
DUP	oh	~	~	FALSE
DUP	okus	~	~	FALSE
DUP	paldır	~	~	FALSE
DUP	pandıras	~	~	FALSE
DUP	parıl	~	~	FALSE
DUP	patır	~	~	FALSE
DUP	patra	~	~	FALSE
DUP	pisipisi	~	~	FALSE
DUP	pılı	~	~	FALSE
DUP	pır	~	~	FALSE
DUP	pırıl	~	~	FALSE
DUP	pırpır	~	~	FALSE
DUP	pırtı	~	~	FALSE
DUP	pırtık	~	~	FALSE
DUP	pıtı	~	~	FALSE
DUP	pıtır	~	~	FALSE
DUP	pıyrım	~	~	FALSE
DUP	pof	~	~	FALSE
DUP	pofur	~	~	FALSE
DUP	pokus	~	~	FALSE
DUP	pörçük	~	~	FALSE
DUP	püfür	~	~	FALSE
DUP	püklüm	~	~	FALSE
DUP	püs	~	~	FALSE
DUP	püslü	~	~	FALSE
DUP	sabuk	~	~	FALSE
DUP	şak	şaK	~	FALSE
DUP	sakır	~	~	FALSE
DUP	şakır	~	~	FALSE
DUP	şakşak	~	~	FALSE
DUP	şalap	şalap~	~	FALSE
DUP	salgım	~	~	FALSE
DUP	şangır	~	~	FALSE
DUP	sapır	~	~	FALSE
DUP	şapır	~	~	FALSE
DUP	şarıl	~	~	FALSE
DUP	sepken	~	~	FALSE
DUP	şıkır	~	~	FALSE
DUP	şıkırtı	~	~	FALSE
DUP	şıldır	~	~	FALSE
DUP	şıngır	~	~	FALSE
DUP	şıp	~	~	FALSE
DUP	şıpır	~	~	FALSE
DUP	şır	~	~	FALSE
DUP	şırak	~	~	FALSE
DUP	şırakkadak	~	~	FALSE
DUP	şırıl	~	~	FALSE
DUP	sızıl	~	~	FALSE
DUP	sızım	~	~	FALSE
DUP	sop	~	~	FALSE
DUP	şor	~	~	FALSE
DUP	şorolop	şorolop~	~	FALSE
DUP	subuk	~	~	FALSE
DUP	süklüm	~	~	FALSE
DUP	şukur	~	~	FALSE
DUP	şungur	~	~	FALSE
DUP	şupur	~	~	FALSE
DUP	tafur	~	~	FALSE
DUP	takır	~	~	FALSE
DUP	taklavat	~	~	FALSE
DUP	tangır	~	~	FALSE
DUP	tapık	~	~	FALSE
DUP	tapır	~	~	FALSE
DUP	tapış	~	~	FALSE
DUP	tefek	~	~	FALSE
DUP	teker	~	~	FALSE
DUP	tiril	~	~	FALSE
DUP	tıkır	~	~	FALSE
DUP	tıkış	~	~	FALSE
DUP	tıklım	~	~	FALSE
