tag	root	morphophonemics	features	is_compound
CD-ORD	altıncı	~	~	FALSE
CD-ORD	altmışıncı	~	~	FALSE
CD-ORD	beşinci	~	~	FALSE
CD-ORD	bilyonuncu	~	~	FALSE
CD-ORD	bininci	~	~	FALSE
CD-ORD	birinci	~	~	FALSE
CD-ORD	desilyonuncu	~	~	FALSE
CD-ORD	doksanıncı	~	~	FALSE
CD-ORD	dokuzuncu	~	~	FALSE
CD-ORD	dördüncü	~	~	FALSE
CD-ORD	duodesilyonuncu	~	~	FALSE
CD-ORD	duotrijintilyonuncu	~	~	FALSE
CD-ORD	duovijintilyonuncu	~	~	FALSE
CD-ORD	ellinci	~	~	FALSE
CD-ORD	hekstilyonuncu	~	~	FALSE
CD-ORD	ikinci	~	~	FALSE
CD-ORD	katordesilyonuncu	~	~	FALSE
CD-ORD	katortrijintilyonuncu	~	~	FALSE
CD-ORD	katorvijintilyonuncu	~	~	FALSE
CD-ORD	katrilyarıncı	~	~	FALSE
CD-ORD	katrilyonuncu	~	~	FALSE
CD-ORD	kendesilyonuncu	~	~	FALSE
CD-ORD	kentilyonuncu	~	~	FALSE
CD-ORD	kentrijintilyonuncu	~	~	FALSE
CD-ORD	kenvijintilyonuncu	~	~	FALSE
CD-ORD	kırkıncı	~	~	FALSE
CD-ORD	milyarıncı	~	~	FALSE
CD-ORD	milyonuncu	~	~	FALSE
CD-ORD	nonilyonuncu	~	~	FALSE
CD-ORD	novemdesilyonuncu	~	~	FALSE
CD-ORD	novemvijintilyonuncu	~	~	FALSE
CD-ORD	oktilyonuncu	~	~	FALSE
CD-ORD	oktodesilyonuncu	~	~	FALSE
CD-ORD	oktovijintilyonuncu	~	~	FALSE
CD-ORD	onuncu	~	~	FALSE
CD-ORD	otuzuncu	~	~	FALSE
CD-ORD	sekizinci	~	~	FALSE
CD-ORD	seksdesilyonuncu	~	~	FALSE
CD-ORD	sekseninci	~	~	FALSE
CD-ORD	sekstilyonuncu	~	~	FALSE
CD-ORD	sekstrijintilyonuncu	~	~	FALSE
CD-ORD	seksvijintilyonuncu	~	~	FALSE
CD-ORD	sentilyonuncu	~	~	FALSE
CD-ORD	septendesilyonuncu	~	~	FALSE
CD-ORD	septenvijintilyonuncu	~	~	FALSE
CD-ORD	septilyonuncu	~	~	FALSE
CD-ORD	sıfırıncı	~	~	FALSE
CD-ORD	tredesilyonuncu	~	~	FALSE
CD-ORD	tretrijintilyonuncu	~	~	FALSE
CD-ORD	trevijintilyonuncu	~	~	FALSE
CD-ORD	trijintilyonuncu	~	~	FALSE
CD-ORD	trilyarıncı	~	~	FALSE
CD-ORD	trilyonuncu	~	~	FALSE
CD-ORD	üçüncü	~	~	FALSE
CD-ORD	undesilyonuncu	~	~	FALSE
CD-ORD	untrijintilyonuncu	~	~	FALSE
CD-ORD	unvijintilyonuncu	~	~	FALSE
CD-ORD	vijintilyonuncu	~	~	FALSE
CD-ORD	yedinci	~	~	FALSE
CD-ORD	yetmişinci	~	~	FALSE
CD-ORD	yirminci	~	~	FALSE
CD-ORD	yüzüncü	~	~	FALSE
